,carat,cut,color,clarity,depth,table,x,y,z,color_n,price_predicted
695,1.2,5-Ideal,4-G,5-VS1,62.0,57.0,6.81,6.78,4.21,3,4099.881433023846
696,0.3,5-Ideal,5-F,8-IF,62.1,54.0,4.32,4.35,2.69,4,3693.570192635153
697,0.85,5-Ideal,6-E,4-VS2,59.3,57.0,6.19,6.22,3.68,5,3287.25895224646
698,0.38,3-Very Good,6-E,4-VS2,60.3,58.0,4.67,4.72,2.83,5,3287.25895224646
699,0.43,5-Ideal,2-I,7-VVS1,63.0,56.0,4.86,4.83,3.05,1,4912.503913801233
700,0.75,4-Premium,6-E,4-VS2,62.1,57.0,5.9,5.79,3.63,5,3287.25895224646
701,0.9,3-Very Good,2-I,2-SI2,60.4,58.0,6.25,6.31,3.79,1,4912.503913801233
702,1.57,4-Premium,1-J,2-SI2,59.6,56.0,7.59,7.5,4.5,0,5318.815154189925
703,1.16,5-Ideal,5-F,6-VVS2,60.5,58.0,6.77,6.85,4.12,4,3693.570192635153
704,0.7,3-Very Good,7-D,4-VS2,61.8,55.0,5.68,5.72,3.52,6,2880.947711857767
705,0.91,4-Premium,6-E,3-SI1,62.4,57.0,6.23,6.11,3.85,5,3287.25895224646
706,1.01,5-Ideal,3-H,3-SI1,60.4,58.0,6.47,6.5,3.92,2,4506.192673412539
707,0.31,5-Ideal,6-E,3-SI1,62.7,54.0,4.36,4.35,2.73,5,3287.25895224646
708,2.02,5-Ideal,3-H,2-SI2,62.4,56.0,8.14,8.04,5.06,2,4506.192673412539
709,1.39,3-Very Good,3-H,4-VS2,59.5,61.0,7.27,7.33,4.34,2,4506.192673412539
710,0.31,5-Ideal,4-G,8-IF,61.9,53.0,4.36,4.39,2.71,3,4099.881433023846
711,0.9,5-Ideal,4-G,3-SI1,60.8,58.0,6.2,6.29,3.8,3,4099.881433023846
712,1.0,3-Very Good,4-G,4-VS2,63.3,58.0,6.39,6.27,4.01,3,4099.881433023846
713,0.51,5-Ideal,5-F,4-VS2,62.8,57.0,5.1,5.06,3.19,4,3693.570192635153
714,0.59,3-Very Good,3-H,3-SI1,61.8,56.0,5.39,5.43,3.35,2,4506.192673412539
715,0.34,3-Very Good,4-G,3-SI1,63.4,57.0,4.4,4.45,2.81,3,4099.881433023846
716,0.76,4-Premium,3-H,4-VS2,58.7,61.0,5.99,5.96,3.51,2,4506.192673412539
717,0.31,4-Premium,5-F,8-IF,61.6,58.0,4.37,4.33,2.68,4,3693.570192635153
718,1.51,3-Very Good,5-F,5-VS1,61.7,59.0,7.29,7.33,4.51,4,3693.570192635153
719,0.3,5-Ideal,5-F,7-VVS1,61.5,56.0,4.32,4.36,2.67,4,3693.570192635153
720,1.01,3-Very Good,6-E,3-SI1,62.3,60.0,6.36,6.39,3.97,5,3287.25895224646
721,0.61,5-Ideal,3-H,3-SI1,61.9,54.0,5.44,5.48,3.38,2,4506.192673412539
722,1.28,3-Very Good,5-F,2-SI2,62.5,55.0,6.91,7.0,4.35,4,3693.570192635153
723,0.7,4-Premium,6-E,7-VVS1,61.7,59.0,5.67,5.71,3.51,5,3287.25895224646
724,0.36,5-Ideal,5-F,3-SI1,60.1,56.0,4.62,4.67,2.79,4,3693.570192635153
725,1.02,3-Very Good,6-E,7-VVS1,62.2,57.0,6.4,6.59,4.04,5,3287.25895224646
726,1.08,5-Ideal,4-G,4-VS2,60.3,59.0,6.62,6.64,4.0,3,4099.881433023846
727,0.58,5-Ideal,6-E,5-VS1,62.6,56.0,5.33,5.27,3.32,5,3287.25895224646
728,0.3,2-Good,7-D,2-SI2,63.2,57.0,4.21,4.24,2.67,6,2880.947711857767
729,0.5,3-Very Good,6-E,4-VS2,63.2,56.0,5.06,5.03,3.19,5,3287.25895224646
730,0.37,4-Premium,3-H,4-VS2,59.5,61.0,4.67,4.64,2.77,2,4506.192673412539
731,1.01,5-Ideal,2-I,3-SI1,60.6,57.0,6.51,6.56,3.96,1,4912.503913801233
732,0.4,5-Ideal,3-H,3-SI1,62.6,52.0,4.73,4.76,2.97,2,4506.192673412539
733,1.51,4-Premium,3-H,2-SI2,62.4,58.0,7.36,7.31,4.58,2,4506.192673412539
734,1.41,5-Ideal,1-J,5-VS1,61.6,56.0,7.19,7.22,4.44,0,5318.815154189925
735,0.34,5-Ideal,3-H,4-VS2,62.6,54.0,4.45,4.5,2.8,2,4506.192673412539
736,0.3,2-Good,2-I,8-IF,63.3,56.0,4.21,4.26,2.68,1,4912.503913801233
737,1.51,3-Very Good,4-G,3-SI1,59.6,60.0,7.43,7.47,4.44,3,4099.881433023846
738,0.7,3-Very Good,7-D,2-SI2,63.1,58.0,5.63,5.57,3.53,6,2880.947711857767
739,0.8,5-Ideal,6-E,3-SI1,61.5,58.0,5.96,6.0,3.68,5,3287.25895224646
740,1.11,4-Premium,3-H,2-SI2,61.5,59.0,6.67,6.63,4.09,2,4506.192673412539
741,0.25,5-Ideal,4-G,5-VS1,62.0,54.0,4.06,4.07,2.52,3,4099.881433023846
742,0.7,5-Ideal,6-E,2-SI2,61.2,55.0,5.76,5.68,3.5,5,3287.25895224646
743,0.4,4-Premium,3-H,5-VS1,62.4,60.0,4.69,4.74,2.94,2,4506.192673412539
744,1.53,4-Premium,2-I,5-VS1,61.2,59.0,7.41,7.39,4.53,1,4912.503913801233
745,0.51,2-Good,1-J,4-VS2,63.1,56.0,5.1,5.13,3.23,0,5318.815154189925
746,0.31,4-Premium,3-H,8-IF,60.8,59.0,4.39,4.36,2.66,2,4506.192673412539
747,0.52,5-Ideal,2-I,3-SI1,61.8,56.0,5.15,5.18,3.19,1,4912.503913801233
748,0.71,4-Premium,4-G,3-SI1,60.4,59.0,5.81,5.75,3.49,3,4099.881433023846
749,1.67,5-Ideal,3-H,5-VS1,61.8,55.9,7.57,7.6,4.69,2,4506.192673412539
750,0.38,3-Very Good,6-E,7-VVS1,60.0,59.0,4.66,4.68,2.8,5,3287.25895224646
751,0.3,5-Ideal,5-F,7-VVS1,61.8,57.0,4.3,4.34,2.67,4,3693.570192635153
752,0.56,5-Ideal,3-H,8-IF,61.3,56.0,5.32,5.35,3.27,2,4506.192673412539
753,1.52,4-Premium,2-I,3-SI1,58.1,62.0,7.61,7.56,4.41,1,4912.503913801233
754,1.11,2-Good,3-H,3-SI1,64.2,58.0,6.47,6.53,4.17,2,4506.192673412539
755,1.03,4-Premium,5-F,3-SI1,58.6,62.0,6.65,6.6,3.88,4,3693.570192635153
756,0.71,3-Very Good,4-G,3-SI1,62.3,57.0,5.7,5.76,3.57,3,4099.881433023846
757,1.21,2-Good,6-E,1-I1,63.3,63.0,6.67,6.72,4.24,5,3287.25895224646
758,0.57,3-Very Good,6-E,2-SI2,59.7,57.0,5.4,5.48,3.25,5,3287.25895224646
759,0.42,3-Very Good,7-D,3-SI1,63.0,57.0,4.77,4.81,3.02,6,2880.947711857767
760,0.32,5-Ideal,6-E,4-VS2,62.7,55.0,4.38,4.36,2.74,5,3287.25895224646
761,0.36,5-Ideal,5-F,3-SI1,59.7,57.0,4.69,4.72,2.81,4,3693.570192635153
762,1.51,4-Premium,4-G,5-VS1,62.2,58.0,7.29,7.35,4.55,3,4099.881433023846
763,0.34,4-Premium,4-G,3-SI1,60.8,59.0,4.56,4.46,2.74,3,4099.881433023846
764,0.5,2-Good,3-H,7-VVS1,63.3,57.0,5.02,5.06,3.19,2,4506.192673412539
765,2.0,1-Fair,3-H,1-I1,69.8,54.0,7.6,7.56,5.29,2,4506.192673412539
766,1.45,3-Very Good,7-D,6-VVS2,62.0,56.0,7.25,7.32,4.52,6,2880.947711857767
767,1.0,4-Premium,4-G,8-IF,61.4,59.0,6.47,6.39,3.95,3,4099.881433023846
768,1.42,3-Very Good,4-G,6-VVS2,62.6,60.0,7.14,7.17,4.48,3,4099.881433023846
769,0.83,3-Very Good,5-F,3-SI1,62.1,58.0,5.98,6.06,3.74,4,3693.570192635153
770,0.3,3-Very Good,5-F,2-SI2,62.6,61.0,4.2,4.24,2.64,4,3693.570192635153
771,1.11,3-Very Good,6-E,2-SI2,61.7,63.0,6.65,6.54,4.07,5,3287.25895224646
772,0.34,5-Ideal,6-E,3-SI1,62.2,54.0,4.47,4.5,2.79,5,3287.25895224646
773,0.7,3-Very Good,7-D,3-SI1,59.4,63.0,5.76,5.78,3.43,6,2880.947711857767
774,0.3,3-Very Good,3-H,5-VS1,63.3,56.0,4.3,4.26,2.71,2,4506.192673412539
775,0.5,2-Good,6-E,2-SI2,58.2,59.0,5.24,5.27,3.06,5,3287.25895224646
776,0.9,1-Fair,5-F,2-SI2,65.7,63.0,6.01,5.96,3.93,4,3693.570192635153
777,0.7,4-Premium,7-D,2-SI2,60.6,58.0,5.75,5.7,3.47,6,2880.947711857767
778,0.34,4-Premium,7-D,2-SI2,60.6,60.0,4.53,4.48,2.73,6,2880.947711857767
779,1.0,5-Ideal,4-G,6-VVS2,60.8,57.0,6.45,6.47,3.93,3,4099.881433023846
780,0.42,5-Ideal,4-G,7-VVS1,62.0,56.0,4.81,4.84,2.99,3,4099.881433023846
781,0.34,3-Very Good,3-H,6-VVS2,63.0,55.0,4.44,4.48,2.81,2,4506.192673412539
782,1.16,5-Ideal,4-G,2-SI2,61.9,56.0,6.77,6.73,4.18,3,4099.881433023846
783,0.56,4-Premium,4-G,5-VS1,61.2,60.0,5.3,5.26,3.23,3,4099.881433023846
784,0.34,4-Premium,6-E,3-SI1,61.9,59.0,4.48,4.44,2.76,5,3287.25895224646
785,0.31,5-Ideal,6-E,7-VVS1,61.7,56.0,4.33,4.36,2.68,5,3287.25895224646
786,0.31,5-Ideal,5-F,7-VVS1,61.1,56.0,4.37,4.4,2.68,4,3693.570192635153
787,0.52,4-Premium,4-G,4-VS2,61.7,58.0,5.16,5.14,3.18,3,4099.881433023846
788,1.04,3-Very Good,2-I,4-VS2,61.9,58.0,6.47,6.55,4.03,1,4912.503913801233
789,0.5,3-Very Good,6-E,5-VS1,62.7,56.0,5.09,5.12,3.2,5,3287.25895224646
790,1.31,4-Premium,1-J,4-VS2,62.0,59.0,7.04,6.97,4.34,0,5318.815154189925
791,1.0,3-Very Good,6-E,3-SI1,59.6,60.0,6.43,6.48,3.85,5,3287.25895224646
792,0.32,3-Very Good,4-G,4-VS2,62.6,58.0,4.37,4.39,2.74,3,4099.881433023846
793,0.7,3-Very Good,2-I,4-VS2,62.2,59.0,5.64,5.71,3.53,1,4912.503913801233
794,0.3,5-Ideal,5-F,7-VVS1,61.9,54.0,4.35,4.37,2.7,4,3693.570192635153
795,0.76,5-Ideal,1-J,3-SI1,62.9,54.0,5.82,5.85,3.67,0,5318.815154189925
796,0.51,3-Very Good,4-G,6-VVS2,63.5,55.0,5.09,5.05,3.22,3,4099.881433023846
797,1.01,3-Very Good,5-F,4-VS2,63.5,58.0,6.35,6.32,4.02,4,3693.570192635153
798,0.71,5-Ideal,3-H,5-VS1,61.7,55.0,5.73,5.75,3.54,2,4506.192673412539
799,1.03,5-Ideal,7-D,3-SI1,62.4,57.0,6.47,6.44,4.03,6,2880.947711857767
800,0.84,3-Very Good,5-F,6-VVS2,60.4,62.0,6.1,6.15,3.7,4,3693.570192635153
801,0.76,4-Premium,6-E,2-SI2,60.8,57.0,5.89,5.85,3.57,5,3287.25895224646
802,1.03,4-Premium,1-J,5-VS1,61.8,58.0,6.51,6.41,3.99,0,5318.815154189925
803,0.54,5-Ideal,6-E,3-SI1,61.3,56.0,5.22,5.25,3.21,5,3287.25895224646
804,0.46,5-Ideal,6-E,5-VS1,60.3,56.0,5.02,5.06,3.04,5,3287.25895224646
805,1.04,5-Ideal,3-H,2-SI2,62.0,57.0,6.53,6.43,4.02,2,4506.192673412539
806,0.3,5-Ideal,7-D,4-VS2,61.5,55.0,4.35,4.3,2.66,6,2880.947711857767
807,1.14,5-Ideal,3-H,4-VS2,61.1,57.0,6.71,6.78,4.12,2,4506.192673412539
808,0.32,4-Premium,7-D,4-VS2,58.8,59.0,4.52,4.49,2.65,6,2880.947711857767
809,1.0,4-Premium,3-H,3-SI1,61.5,58.0,6.37,6.45,3.94,2,4506.192673412539
810,0.32,4-Premium,2-I,7-VVS1,60.1,61.0,4.45,4.4,2.66,1,4912.503913801233
811,0.41,2-Good,5-F,1-I1,63.8,57.0,4.72,4.69,3.0,4,3693.570192635153
812,0.32,5-Ideal,2-I,7-VVS1,61.7,55.0,4.39,4.4,2.71,1,4912.503913801233
813,0.9,5-Ideal,4-G,5-VS1,61.6,55.0,6.27,6.23,3.85,3,4099.881433023846
814,0.7,4-Premium,5-F,3-SI1,59.4,60.0,5.77,5.74,3.42,4,3693.570192635153
815,0.3,3-Very Good,7-D,3-SI1,58.8,57.0,4.4,4.44,2.6,6,2880.947711857767
816,0.31,4-Premium,3-H,7-VVS1,61.9,58.0,4.34,4.32,2.68,2,4506.192673412539
817,0.71,4-Premium,7-D,3-SI1,61.3,58.0,5.73,5.75,3.52,6,2880.947711857767
818,0.7,3-Very Good,6-E,2-SI2,62.0,60.0,5.67,5.72,3.53,5,3287.25895224646
819,0.32,5-Ideal,4-G,7-VVS1,61.7,56.0,4.37,4.41,2.71,3,4099.881433023846
820,0.91,4-Premium,5-F,2-SI2,60.8,59.0,6.28,6.25,3.81,4,3693.570192635153
821,0.91,5-Ideal,6-E,3-SI1,61.2,58.0,6.24,6.3,3.84,5,3287.25895224646
822,1.5,4-Premium,6-E,5-VS1,62.5,58.0,7.28,7.21,4.53,5,3287.25895224646
823,0.9,5-Ideal,3-H,2-SI2,62.1,55.0,6.17,6.2,3.84,2,4506.192673412539
824,0.77,3-Very Good,7-D,3-SI1,62.1,58.0,5.84,5.89,3.64,6,2880.947711857767
825,0.43,4-Premium,5-F,4-VS2,61.0,57.0,4.87,4.84,2.96,4,3693.570192635153
826,0.32,5-Ideal,2-I,6-VVS2,62.0,54.9,4.36,4.39,2.71,1,4912.503913801233
827,0.6,5-Ideal,4-G,6-VVS2,61.4,59.0,5.37,5.41,3.31,3,4099.881433023846
828,1.72,2-Good,1-J,2-SI2,63.2,57.0,7.56,7.6,4.79,0,5318.815154189925
829,0.32,4-Premium,1-J,5-VS1,61.9,58.0,4.39,4.33,2.7,0,5318.815154189925
830,1.23,5-Ideal,1-J,3-SI1,63.1,58.0,6.8,6.74,4.27,0,5318.815154189925
831,1.67,5-Ideal,3-H,3-SI1,61.6,55.0,7.68,7.62,4.71,2,4506.192673412539
832,0.4,2-Good,6-E,3-SI1,63.5,55.0,4.67,4.71,2.98,5,3287.25895224646
833,0.41,5-Ideal,5-F,5-VS1,60.6,57.0,4.84,4.79,2.92,4,3693.570192635153
834,1.24,2-Good,4-G,4-VS2,61.3,57.0,6.78,6.88,4.19,3,4099.881433023846
835,0.41,3-Very Good,3-H,4-VS2,60.0,57.0,4.92,4.88,2.94,2,4506.192673412539
836,0.32,3-Very Good,2-I,4-VS2,63.0,55.0,4.34,4.39,2.75,1,4912.503913801233
837,0.37,3-Very Good,6-E,4-VS2,61.8,59.0,4.56,4.6,2.83,5,3287.25895224646
838,1.01,2-Good,5-F,4-VS2,60.6,62.0,6.52,6.49,3.94,4,3693.570192635153
839,1.18,5-Ideal,5-F,7-VVS1,61.5,55.6,6.79,6.83,4.19,4,3693.570192635153
840,0.32,2-Good,5-F,3-SI1,63.2,55.0,4.37,4.4,2.77,4,3693.570192635153
841,0.75,5-Ideal,2-I,5-VS1,61.1,59.0,5.85,5.87,3.58,1,4912.503913801233
842,0.3,3-Very Good,4-G,6-VVS2,61.6,56.0,4.27,4.3,2.64,3,4099.881433023846
843,0.7,3-Very Good,7-D,5-VS1,61.6,58.0,5.67,5.73,3.51,6,2880.947711857767
844,1.06,3-Very Good,2-I,5-VS1,58.5,58.3,6.66,6.79,3.94,1,4912.503913801233
845,1.08,4-Premium,6-E,2-SI2,60.8,59.0,6.57,6.62,4.01,5,3287.25895224646
846,0.26,5-Ideal,4-G,8-IF,61.7,54.0,4.15,4.18,2.57,3,4099.881433023846
847,0.3,3-Very Good,3-H,7-VVS1,63.3,59.0,4.28,4.22,2.69,2,4506.192673412539
848,0.72,5-Ideal,5-F,2-SI2,61.9,54.0,5.83,5.73,3.57,4,3693.570192635153
849,0.38,5-Ideal,7-D,5-VS1,62.2,57.0,4.66,4.63,2.89,6,2880.947711857767
850,0.81,4-Premium,5-F,3-SI1,61.9,58.0,5.99,5.96,3.7,4,3693.570192635153
851,1.47,3-Very Good,3-H,2-SI2,59.1,56.0,7.46,7.51,4.42,2,4506.192673412539
852,1.01,2-Good,5-F,2-SI2,62.5,59.0,6.31,6.37,3.96,4,3693.570192635153
853,1.24,1-Fair,4-G,2-SI2,65.7,57.0,6.72,6.68,4.4,3,4099.881433023846
854,0.72,3-Very Good,4-G,2-SI2,62.5,56.0,5.68,5.71,3.56,3,4099.881433023846
855,0.51,5-Ideal,5-F,5-VS1,60.4,56.0,5.18,5.21,3.14,4,3693.570192635153
856,0.33,5-Ideal,1-J,7-VVS1,62.1,54.0,4.45,4.47,2.77,0,5318.815154189925
857,2.03,5-Ideal,4-G,3-SI1,60.0,55.8,8.17,8.3,4.95,3,4099.881433023846
858,0.39,3-Very Good,1-J,7-VVS1,57.8,59.0,4.85,4.9,2.82,0,5318.815154189925
859,0.3,3-Very Good,4-G,4-VS2,60.8,61.0,4.31,4.34,2.63,3,4099.881433023846
860,0.55,5-Ideal,7-D,4-VS2,58.5,58.0,5.42,5.39,3.16,6,2880.947711857767
861,1.0,4-Premium,6-E,1-I1,62.3,58.0,6.38,6.33,3.96,5,3287.25895224646
862,2.0,2-Good,2-I,4-VS2,63.6,60.0,8.03,7.95,5.08,1,4912.503913801233
863,1.0,2-Good,7-D,3-SI1,63.8,53.0,6.35,6.4,4.07,6,2880.947711857767
864,0.32,5-Ideal,1-J,5-VS1,62.0,54.7,4.39,4.42,2.73,0,5318.815154189925
865,0.4,4-Premium,4-G,5-VS1,60.7,58.0,4.81,4.78,2.91,3,4099.881433023846
866,1.01,2-Good,7-D,3-SI1,64.1,60.0,6.3,6.27,4.03,6,2880.947711857767
867,0.3,3-Very Good,3-H,3-SI1,63.0,54.0,4.27,4.3,2.7,2,4506.192673412539
868,0.7,3-Very Good,3-H,3-SI1,58.5,65.0,5.81,5.84,3.41,2,4506.192673412539
869,0.71,3-Very Good,6-E,7-VVS1,62.8,59.0,5.66,5.71,3.57,5,3287.25895224646
870,0.83,5-Ideal,6-E,3-SI1,61.5,55.0,6.05,6.08,3.73,5,3287.25895224646
871,0.31,5-Ideal,2-I,7-VVS1,62.1,56.0,4.38,4.35,2.71,1,4912.503913801233
872,0.71,4-Premium,6-E,4-VS2,62.1,59.0,5.68,5.72,3.54,5,3287.25895224646
873,0.91,3-Very Good,3-H,5-VS1,62.7,63.0,6.1,6.03,3.8,2,4506.192673412539
874,0.9,4-Premium,4-G,4-VS2,62.0,60.0,6.19,6.14,3.82,3,4099.881433023846
875,0.41,4-Premium,4-G,5-VS1,61.9,60.0,4.76,4.7,2.93,3,4099.881433023846
876,0.41,4-Premium,5-F,6-VVS2,60.1,59.0,4.79,4.82,2.89,4,3693.570192635153
877,0.7,3-Very Good,5-F,3-SI1,59.2,60.0,5.77,5.79,3.42,4,3693.570192635153
878,1.02,5-Ideal,2-I,4-VS2,62.7,56.0,6.37,6.43,4.01,1,4912.503913801233
879,0.71,5-Ideal,4-G,2-SI2,61.5,55.0,5.74,5.78,3.54,3,4099.881433023846
880,0.51,5-Ideal,7-D,4-VS2,62.7,55.0,5.12,5.09,3.2,6,2880.947711857767
881,1.03,5-Ideal,4-G,6-VVS2,61.6,56.0,6.48,6.5,4.0,3,4099.881433023846
882,0.9,3-Very Good,4-G,7-VVS1,62.3,58.0,6.14,6.21,3.85,3,4099.881433023846
883,0.3,5-Ideal,7-D,4-VS2,61.1,56.0,4.36,4.32,2.65,6,2880.947711857767
884,1.05,3-Very Good,4-G,4-VS2,61.7,55.0,6.5,6.56,4.03,3,4099.881433023846
885,1.3,5-Ideal,3-H,6-VVS2,61.5,55.0,7.07,7.03,4.34,2,4506.192673412539
886,0.36,5-Ideal,4-G,7-VVS1,62.8,57.0,4.55,4.52,2.85,3,4099.881433023846
887,0.51,3-Very Good,4-G,7-VVS1,62.9,57.0,5.08,5.12,3.21,3,4099.881433023846
888,1.08,3-Very Good,1-J,2-SI2,63.2,59.0,6.57,6.4,4.1,0,5318.815154189925
889,2.2,4-Premium,2-I,4-VS2,62.0,57.0,8.38,8.34,5.18,1,4912.503913801233
890,0.3,5-Ideal,5-F,8-IF,62.1,57.0,4.29,4.31,2.67,4,3693.570192635153
891,0.3,3-Very Good,6-E,6-VVS2,62.9,55.0,4.25,4.27,2.68,5,3287.25895224646
892,1.46,4-Premium,7-D,2-SI2,62.0,55.0,7.32,7.23,4.51,6,2880.947711857767
893,0.54,5-Ideal,4-G,5-VS1,60.1,57.0,5.29,5.31,3.18,3,4099.881433023846
894,0.58,3-Very Good,6-E,3-SI1,59.6,57.0,5.41,5.42,3.23,5,3287.25895224646
895,2.01,4-Premium,2-I,3-SI1,61.3,60.0,8.09,8.05,4.95,1,4912.503913801233
896,0.43,3-Very Good,7-D,3-SI1,62.9,56.0,4.78,4.83,3.02,6,2880.947711857767
897,2.3,5-Ideal,3-H,2-SI2,61.6,56.0,8.48,8.52,5.24,2,4506.192673412539
898,0.91,4-Premium,2-I,5-VS1,61.9,57.0,6.24,6.19,3.85,1,4912.503913801233
899,0.4,5-Ideal,5-F,2-SI2,62.0,57.0,4.7,4.72,2.92,4,3693.570192635153
900,1.0,5-Ideal,6-E,3-SI1,61.6,57.0,6.37,6.45,3.95,5,3287.25895224646
901,0.41,4-Premium,4-G,4-VS2,61.9,59.0,4.77,4.73,2.94,3,4099.881433023846
902,0.35,5-Ideal,3-H,7-VVS1,60.5,57.0,4.58,4.59,2.77,2,4506.192673412539
903,1.1,3-Very Good,4-G,8-IF,60.5,55.0,6.77,6.71,4.08,3,4099.881433023846
904,0.3,4-Premium,4-G,3-SI1,62.5,61.0,4.29,4.26,2.67,3,4099.881433023846
905,0.31,5-Ideal,4-G,6-VVS2,60.8,56.0,4.41,4.44,2.69,3,4099.881433023846
906,0.94,4-Premium,5-F,2-SI2,62.4,58.0,6.23,6.17,3.87,4,3693.570192635153
907,0.72,2-Good,4-G,2-SI2,63.7,59.0,5.74,5.65,3.63,3,4099.881433023846
908,0.7,3-Very Good,5-F,3-SI1,60.6,60.0,5.71,5.75,3.47,4,3693.570192635153
909,0.24,5-Ideal,3-H,4-VS2,61.1,56.0,3.99,4.03,2.45,2,4506.192673412539
910,0.57,3-Very Good,6-E,4-VS2,59.5,56.0,5.45,5.47,3.25,5,3287.25895224646
911,0.71,4-Premium,2-I,3-SI1,61.7,56.0,5.73,5.71,3.53,1,4912.503913801233
912,0.79,5-Ideal,3-H,6-VVS2,62.0,55.9,5.88,5.95,3.67,2,4506.192673412539
913,0.3,4-Premium,4-G,5-VS1,59.6,59.0,4.38,4.34,2.6,3,4099.881433023846
914,0.52,4-Premium,6-E,4-VS2,61.6,59.0,5.16,5.14,3.17,5,3287.25895224646
915,1.22,3-Very Good,5-F,6-VVS2,60.7,62.0,6.81,6.84,4.14,4,3693.570192635153
916,1.0,2-Good,7-D,3-SI1,64.9,53.0,6.27,6.3,4.08,6,2880.947711857767
917,0.3,2-Good,3-H,7-VVS1,63.4,57.0,4.27,4.31,2.72,2,4506.192673412539
918,0.3,2-Good,6-E,4-VS2,64.2,57.0,4.24,4.13,2.69,5,3287.25895224646
919,0.51,4-Premium,6-E,4-VS2,60.5,56.0,5.24,5.18,3.15,5,3287.25895224646
920,1.22,5-Ideal,3-H,6-VVS2,62.7,54.0,6.77,6.83,4.27,2,4506.192673412539
921,0.56,5-Ideal,7-D,4-VS2,61.2,56.0,5.3,5.35,3.26,6,2880.947711857767
922,0.53,5-Ideal,6-E,4-VS2,61.4,56.0,5.18,5.25,3.2,5,3287.25895224646
923,0.58,5-Ideal,6-E,4-VS2,61.8,57.0,5.32,5.36,3.3,5,3287.25895224646
924,0.73,4-Premium,2-I,5-VS1,61.2,59.0,5.84,5.82,3.57,1,4912.503913801233
925,1.13,5-Ideal,5-F,1-I1,62.2,55.0,6.68,6.63,4.14,4,3693.570192635153
926,0.7,3-Very Good,5-F,5-VS1,60.5,57.0,5.77,5.8,3.5,4,3693.570192635153
927,0.59,5-Ideal,7-D,8-IF,60.7,58.0,5.45,5.49,3.32,6,2880.947711857767
928,0.5,5-Ideal,4-G,7-VVS1,62.2,55.0,5.09,5.11,3.17,3,4099.881433023846
929,1.07,3-Very Good,4-G,6-VVS2,62.8,57.0,6.46,6.56,4.09,3,4099.881433023846
930,0.42,5-Ideal,4-G,6-VVS2,62.1,57.0,4.8,4.77,2.97,3,4099.881433023846
931,0.27,5-Ideal,4-G,5-VS1,62.3,53.0,4.16,4.19,2.6,3,4099.881433023846
932,1.51,4-Premium,3-H,5-VS1,61.0,60.0,7.29,7.34,4.46,2,4506.192673412539
933,1.33,4-Premium,4-G,2-SI2,59.2,62.0,7.22,7.16,4.26,3,4099.881433023846
934,0.53,5-Ideal,4-G,7-VVS1,61.4,57.0,5.18,5.21,3.19,3,4099.881433023846
935,0.43,5-Ideal,5-F,6-VVS2,61.9,56.0,4.84,4.82,2.99,4,3693.570192635153
936,0.4,4-Premium,4-G,5-VS1,61.3,60.0,4.71,4.66,2.87,3,4099.881433023846
937,0.9,3-Very Good,5-F,2-SI2,62.0,59.0,6.2,6.1,3.81,4,3693.570192635153
938,2.07,1-Fair,7-D,2-SI2,64.5,60.0,7.99,7.88,5.12,6,2880.947711857767
939,1.51,4-Premium,4-G,4-VS2,59.2,61.0,7.48,7.44,4.42,3,4099.881433023846
940,0.32,5-Ideal,5-F,3-SI1,61.6,55.0,4.41,4.45,2.73,4,3693.570192635153
941,0.5,4-Premium,6-E,3-SI1,62.3,60.0,5.16,5.08,3.19,5,3287.25895224646
942,0.9,2-Good,4-G,5-VS1,61.0,62.0,6.16,6.24,3.78,3,4099.881433023846
943,0.71,1-Fair,7-D,3-SI1,66.3,56.0,5.61,5.49,3.68,6,2880.947711857767
944,1.21,2-Good,3-H,3-SI1,63.8,64.0,6.72,6.63,4.26,2,4506.192673412539
945,0.32,4-Premium,6-E,3-SI1,62.2,58.0,4.39,4.36,2.72,5,3287.25895224646
946,0.7,3-Very Good,5-F,4-VS2,61.7,63.0,5.61,5.64,3.47,4,3693.570192635153
947,0.42,5-Ideal,6-E,5-VS1,61.6,57.0,4.8,4.84,2.97,5,3287.25895224646
948,0.92,3-Very Good,4-G,2-SI2,59.4,62.0,6.34,6.36,3.77,3,4099.881433023846
949,1.0,4-Premium,3-H,2-SI2,60.0,62.0,6.53,6.51,3.91,2,4506.192673412539
950,1.09,5-Ideal,2-I,4-VS2,61.8,57.0,6.55,6.59,4.06,1,4912.503913801233
951,0.56,4-Premium,2-I,7-VVS1,60.6,59.0,5.29,5.33,3.22,1,4912.503913801233
952,1.01,1-Fair,6-E,4-VS2,66.6,55.0,6.27,6.2,4.15,5,3287.25895224646
953,2.02,4-Premium,1-J,4-VS2,62.0,59.0,8.06,8.08,5.0,0,5318.815154189925
954,0.3,3-Very Good,6-E,2-SI2,58.8,60.0,4.39,4.42,2.59,5,3287.25895224646
955,1.03,3-Very Good,7-D,2-SI2,61.3,61.0,6.46,6.49,3.97,6,2880.947711857767
956,0.62,4-Premium,4-G,4-VS2,61.1,59.0,5.56,5.5,3.38,3,4099.881433023846
957,0.83,2-Good,1-J,3-SI1,63.8,58.0,5.97,5.95,3.8,0,5318.815154189925
958,0.9,4-Premium,5-F,2-SI2,58.9,59.0,6.31,6.26,3.7,4,3693.570192635153
959,2.04,3-Very Good,2-I,3-SI1,63.1,58.0,8.06,7.99,5.06,1,4912.503913801233
